Representative,Party,State Full,state,Vote,district,statedistrict,pvi,year,Full Name,last_name,party
Harris,Republican,Maryland,MD,Yea,1,MD-1,11.0,2024.0,Andy Harris,Harris,Republican
Harris,Republican,North Carolina,NC,Yea,9,NC-9,6.0,2024.0,Mark Harris,Harris,Republican
Harshbarger,Republican,Tennessee,TN,Yea,2,TN-2,18.0,2024.0,Diana Harshbarger,Harshbarger,Republican
Hayes,Democratic,Connecticut,CT,Yea,5,CT-5,-3.0,2024.0,Jahana Hayes,Hayes,Democrat
Hern,Republican,Oklahoma,OK,Yea,2,OK-2,29.0,2024.0,Kevin Hern,Hern,Republican
Higgins,Republican,Louisiana,LA,Yea,3,LA-3,21.0,2024.0,Clay Higgins,Higgins,Republican
Hill,Republican,Arkansas,AR,Yea,2,AR-2,9.0,2024.0,J. French Hill,Hill,Republican
Himes,Democratic,Connecticut,CT,Nay,4,CT-4,-13.0,2024.0,James A. Himes,Himes,Democrat
Hinson,Republican,Iowa,IA,Yea,2,IA-2,4.0,2024.0,Ashley Hinson,Hinson,Republican
Houchin,Republican,Indiana,IN,Yea,9,IN-9,16.0,2024.0,Erin Houchin,Houchin,Republican
Houlahan,Democratic,Pennsylvania,PA,Nay,7,PA-7,2.0,2024.0,Chrissy Houlahan,Houlahan,Democrat
Hoyer,Democratic,Maryland,MD,Nay,5,MD-5,-15.0,2024.0,Steny H. Hoyer,Hoyer,Democrat
Hoyle,Democratic,Oregon,OR,Nay,5,OR-5,-2.0,2024.0,Val T. Hoyle,Hoyle,Democrat
Hudson,Republican,North Carolina,NC,Yea,10,NC-10,22.0,2024.0,Richard Hudson,Hudson,Republican
Huffman,Democratic,California,CA,Nay,2,CA-2,-23.0,2024.0,Jared Huffman,Huffman,Democrat
Huizenga,Republican,Michigan,MI,Yea,4,MI-4,5.0,2024.0,Bill Huizenga,Huizenga,Republican
Hunt,Republican,Texas,TX,Yea,38,TX-38,12.0,2024.0,Wesley Hunt,Hunt,Republican
Hurd,Republican,Colorado,CO,Yea,3,CO-3,7.0,2024.0,Jeff Hurd,Hurd,Republican
Issa,Republican,California,CA,Yea,48,CA-48,9.0,2024.0,Darrell Issa,Issa,Republican
Ivey,Democratic,Maryland,MD,Nay,4,MD-4,-40.0,2024.0,Glenn Ivey,Ivey,Democrat
Jack,Republican,Georgia,GA,Yea,3,GA-3,18.0,2024.0,Brian Jack,Jack,Republican
Jackson,Democratic,Illinois,IL,Nay,1,IL-1,-20.0,2024.0,Jonathan L. Jackson,Jackson,Democrat
Jackson,Republican,Texas,TX,Yea,13,TX-13,26.0,2024.0,Ronny Jackson,Jackson,Republican
Jacobs,Democratic,California,CA,Nay,51,CA-51,-12.0,2024.0,Sara Jacobs,Jacobs,Democrat
James,Republican,Michigan,MI,Yea,10,MI-10,3.0,2024.0,John James,James,Republican
Jayapal,Democratic,Washington,WA,Not Voting,7,WA-7,-36.0,2024.0,Pramila Jayapal,Jayapal,Democrat
Jeffries,Democratic,New York,NY,Nay,9,NY-9,-25.0,2024.0,Hakeem S. Jeffries,Jeffries,Democrat
Johnson,Democratic,Georgia,GA,Nay,4,GA-4,-27.0,2024.0,"Henry C. ""Hank"" Johnson, Jr.",Johnson,Democrat
Johnson,Republican,Louisiana,LA,Yea,4,LA-4,14.0,2024.0,Mike Johnson,Johnson,Republican
Johnson,Democratic,Texas,TX,Nay,32,TX-32,-14.0,2024.0,Julie Johnson,Johnson,Democrat
Jordan,Republican,Ohio,OH,Yea,5,OH-5,15.0,2024.0,Jim Jordan,Jordan,Republican
