Apprehension AOR,weeks_since_inauguration,arrests
Salt Lake City,19,183
Salt Lake City,20,198
Salt Lake City,21,162
Salt Lake City,22,202
Salt Lake City,23,153
Salt Lake City,24,180
Salt Lake City,25,182
Salt Lake City,26,167
Salt Lake City,27,166
Salt Lake City,28,166
Salt Lake City,29,187
Salt Lake City,30,211
Salt Lake City,31,150
Salt Lake City,32,163
Salt Lake City,33,169
Salt Lake City,34,168
Salt Lake City,35,167
Salt Lake City,36,201
Salt Lake City,37,169
Salt Lake City,38,67
San Antonio,-15,136
San Antonio,-14,101
San Antonio,-13,123
San Antonio,-12,110
San Antonio,-11,100
San Antonio,-10,98
San Antonio,-9,142
San Antonio,-8,98
San Antonio,-7,79
San Antonio,-6,121
San Antonio,-5,104
San Antonio,-4,146
San Antonio,-3,63
San Antonio,-2,85
San Antonio,-1,107
San Antonio,0,278
San Antonio,1,215
San Antonio,2,209
San Antonio,3,180
San Antonio,4,179
San Antonio,5,224
San Antonio,6,181
San Antonio,7,177
San Antonio,8,211
San Antonio,9,209
San Antonio,10,188
San Antonio,11,180
San Antonio,12,196
San Antonio,13,173
San Antonio,14,180
San Antonio,15,189
San Antonio,16,280
San Antonio,17,400
San Antonio,18,463
San Antonio,19,536
San Antonio,20,488
San Antonio,21,467
San Antonio,22,403
San Antonio,23,293
San Antonio,24,307
San Antonio,25,319
San Antonio,26,366
San Antonio,27,412
San Antonio,28,369
San Antonio,29,341
San Antonio,30,321
San Antonio,31,311
San Antonio,32,328
San Antonio,33,436
San Antonio,34,455
San Antonio,35,502
San Antonio,36,505
San Antonio,37,350
San Antonio,38,142
San Diego,-15,12
San Diego,-14,11
San Diego,-13,15
San Diego,-12,14
San Diego,-11,10
San Diego,-10,20
San Diego,-9,13
San Diego,-8,13
San Diego,-7,5
San Diego,-6,8
San Diego,-5,14
San Diego,-4,11
San Diego,-3,2
San Diego,-2,7
San Diego,-1,31
San Diego,0,55
San Diego,1,77
San Diego,2,28
San Diego,3,18
San Diego,4,21
San Diego,5,24
San Diego,6,30
San Diego,7,19
San Diego,8,41
San Diego,9,19
San Diego,10,13
San Diego,11,22
San Diego,12,24
San Diego,13,25
San Diego,14,18
San Diego,15,17
San Diego,16,41
San Diego,17,119
San Diego,18,125
San Diego,19,211
San Diego,20,147
San Diego,21,118
San Diego,22,133
San Diego,23,124
San Diego,24,173
San Diego,25,156
San Diego,26,125
San Diego,27,177
San Diego,28,150
San Diego,29,139
San Diego,30,262
San Diego,31,264
San Diego,32,317
San Diego,33,326
San Diego,34,362
San Diego,35,320
San Diego,36,303
San Diego,37,310
San Diego,38,106
San Francisco,-15,31
San Francisco,-14,38
San Francisco,-13,50
San Francisco,-12,58
San Francisco,-11,47
San Francisco,-10,26
San Francisco,-9,43
San Francisco,-8,38
San Francisco,-7,22
San Francisco,-6,41
San Francisco,-5,40
San Francisco,-4,58
San Francisco,-3,30
San Francisco,-2,23
San Francisco,-1,29
San Francisco,0,131
San Francisco,1,110
San Francisco,2,74
San Francisco,3,79
San Francisco,4,80
San Francisco,5,89
San Francisco,6,99
San Francisco,7,92
San Francisco,8,79
San Francisco,9,91
San Francisco,10,74
San Francisco,11,78
San Francisco,12,51
San Francisco,13,50
San Francisco,14,77
San Francisco,15,89
San Francisco,16,74
San Francisco,17,100
San Francisco,18,93
San Francisco,19,205
San Francisco,20,132
San Francisco,21,112
San Francisco,22,148
San Francisco,23,109
San Francisco,24,112
San Francisco,25,129
San Francisco,26,197
San Francisco,27,157
San Francisco,28,103
San Francisco,29,130
San Francisco,30,94
San Francisco,31,156
San Francisco,32,163
San Francisco,33,164
San Francisco,34,185
San Francisco,35,197
San Francisco,36,191
San Francisco,37,159
San Francisco,38,80
Seattle,-15,14
Seattle,-14,16
Seattle,-13,18
Seattle,-12,18
Seattle,-11,25
Seattle,-10,15
Seattle,-9,24
Seattle,-8,12
Seattle,-7,13
Seattle,-6,26
Seattle,-5,14
